iso3,evidence_gap_value,evidence_gap_lisa_I,evidence_gap_lisa_p,evidence_gap_lisa_cat_fdr,evidence_gap_lisa_cat_raw,evidence_gap_value_missing,wb_region,wb_income_group,n_studies_fractional,need_rank_pct,display_class
ZAF,24.55958549222798,-0.4315176865409597,0.05,Not significant,Not significant,False,Sub-Saharan Africa ,Upper middle income,11.583333333333332,0.5544041450777202,Not significant
SSD,-34.28457552809884,0.7813719657293837,0.0157,Not significant,Low-Low,False,Sub-Saharan Africa ,Low income,2.0,0.927461139896373,Not significant
ESP,46.18838846818121,1.3517378099734287,0.0021,High-High,High-High,False,Europe & Central Asia,High income,23.0,0.466321243523316,High-High
LKA,41.343164607413314,0.2457000513480285,0.2842,Not significant,Not significant,False,South Asia,Upper middle income,14.5,0.4404145077720207,Not significant
SDN,-75.32615916035606,1.3692440464104942,0.0419,Not significant,Low-Low,False,Sub-Saharan Africa ,Low income,0.0,0.9430051813471504,Not significant
SUR,-20.922014082635844,0.0126931245007298,0.4715,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,0.0,0.3989637305699481,Not significant
SWE,65.24644612727514,1.6064084386272208,0.0096,Not significant,High-High,False,Europe & Central Asia,High income,10.0,0.1347150259067357,Not significant
CHE,39.845888136043584,1.4781584349728747,0.0004,High-High,High-High,False,Europe & Central Asia,High income,1.5,0.1502590673575129,High-High
SYR,-55.59319782117709,0.0080361406961198,0.4827,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.25,0.9533678756476685,Not significant
TJK,-52.01009698419024,0.3474556166134215,0.2584,Not significant,Not significant,False,Europe & Central Asia,Lower middle income,0.0,0.7098445595854922,Not significant
THA,32.73282848412383,-0.0013316269365558,0.4996,Not significant,Not significant,False,East Asia & Pacific,Upper middle income,21.5,0.5854922279792746,Not significant
TLS,-65.99973428988973,-0.9436975258663116,0.096,Not significant,Not significant,False,East Asia & Pacific,Lower middle income,0.0,0.8497409326424871,Not significant
TGO,-60.30025242460475,0.7613769850109577,0.1118,Not significant,Not significant,False,Sub-Saharan Africa ,Lower middle income,0.0,0.7927461139896373,Not significant
TON,-17.295071077454498,-0.0999740122607937,0.3019,Not significant,Not significant,False,East Asia & Pacific,Upper middle income,0.0,0.3626943005181347,Not significant
TTO,-13.149993357247244,0.0314944608708962,0.4131,Not significant,Not significant,False,Latin America & Caribbean ,High income,0.0,0.3212435233160621,Not significant
TUN,20.253753155307557,0.1980439506652916,0.1763,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5.0,0.5025906735751295,Not significant
TKM,-42.68367211372393,0.2641648553507448,0.2763,Not significant,Not significant,False,Europe & Central Asia,Upper middle income,0.0,0.616580310880829,Not significant
TUV,16.901820114255347,-0.3950230016164014,0.0134,Not significant,High-Low,False,East Asia & Pacific,Upper middle income,0.0,0.0207253886010362,Not significant
