iso3,research_share,production_share,n_studies_fractional,n_production_cells,fao_area_name,wb_region,wb_income_group,research_share_pct,production_share_pct,labelled_in_figure,plot_group,clipped_to_left_edge
POL,0.006930178452095141,0.007384551910676217,14.0,13,Poland,Europe & Central Asia,High income,0.6930178452095141,0.7384551910676217,False,log-log scatter,False
TUR,0.006930178452095141,0.009088469454710356,14.0,19,Türkiye,Europe & Central Asia,Upper middle income,0.6930178452095141,0.9088469454710356,False,log-log scatter,False
SEN,0.00693017845209514,0.0011001378008791336,14.0,15,Senegal,Sub-Saharan Africa ,Lower middle income,0.693017845209514,0.11001378008791336,True,log-log scatter,False
CZE,0.006810175362015571,0.0018756308482741624,13.757575757575758,12,Czechia,Europe & Central Asia,High income,0.6810175362015571,0.18756308482741624,False,log-log scatter,False
EGY,0.006311412518872361,0.007910573799814108,12.75,19,Egypt,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.631141251887236,0.7910573799814108,False,log-log scatter,False
TZA,0.006286661881543449,0.004867147110582754,12.7,21,United Republic of Tanzania,Sub-Saharan Africa ,Lower middle income,0.6286661881543449,0.48671471105827546,False,log-log scatter,False
PER,0.0060639061455832486,0.004002057396825216,12.25,20,Peru,Latin America & Caribbean ,Upper middle income,0.6063906145583249,0.4002057396825216,False,log-log scatter,False
RUS,0.005969618003377872,0.029395378201630976,12.059523809523808,16,Russian Federation,Europe & Central Asia,High income,0.5969618003377872,2.9395378201630975,True,log-log scatter,False
PHL,0.005940152958938693,0.008823282489928155,12.0,16,Philippines,East Asia & Pacific,Upper middle income,0.5940152958938693,0.8823282489928155,False,log-log scatter,False
ZAF,0.005733897647864432,0.005651554618030911,11.583333333333332,18,South Africa,Sub-Saharan Africa ,Upper middle income,0.5733897647864432,0.5651554618030911,False,log-log scatter,False
COL,0.0053213870257159115,0.007836012165051016,10.75,23,Colombia,Latin America & Caribbean ,Upper middle income,0.5321387025715911,0.7836012165051016,False,log-log scatter,False
JPN,0.004950127465782244,0.002775646406959403,10.0,18,Japan,East Asia & Pacific,High income,0.49501274657822436,0.2775646406959403,False,log-log scatter,False
SWE,0.004950127465782244,0.0011531627928835586,10.0,11,Sweden,Europe & Central Asia,High income,0.49501274657822436,0.11531627928835586,False,log-log scatter,False
RWA,0.004578867905848575,0.0009502288010921659,9.25,18,Rwanda,Sub-Saharan Africa ,Low income,0.45788679058485754,0.0950228801092166,False,log-log scatter,False
GHA,0.004496365781418871,0.006462168878526427,9.083333333333332,16,Ghana,Sub-Saharan Africa ,Lower middle income,0.4496365781418871,0.6462168878526426,False,log-log scatter,False
SRB,0.004252609504694745,0.0019431882795827439,8.59090909090909,12,Serbia,Europe & Central Asia,Upper middle income,0.42526095046947454,0.19431882795827438,False,log-log scatter,False
NLD,0.004104480690377777,0.0020418201010328797,8.291666666666666,11,Netherlands (Kingdom of the),Europe & Central Asia,High income,0.41044806903777775,0.20418201010328796,False,log-log scatter,False
TWN,0.003960101972625795,0.0004399978009993237,8.0,18,"China, Taiwan Province of",,,0.39601019726257947,0.04399978009993237,False,log-log scatter,False
BFA,0.0038115981486523272,0.0010498996946269477,7.699999999999999,14,Burkina Faso,Sub-Saharan Africa ,Low income,0.3811598148652327,0.10498996946269477,False,log-log scatter,False
GRC,0.0034650892260475706,0.0006487416156982645,7.0,14,Greece,Europe & Central Asia,High income,0.3465089226047571,0.06487416156982645,False,log-log scatter,False
DNK,0.0033825871016178663,0.001960197879591556,6.833333333333333,12,Denmark,Europe & Central Asia,High income,0.33825871016178666,0.19601978795915562,False,log-log scatter,False
UZB,0.002970076479469346,0.0018237645718666624,6.0,17,Uzbekistan,Europe & Central Asia,Lower middle income,0.2970076479469346,0.18237645718666623,False,log-log scatter,False
DZA,0.0029700764794693465,0.001280378239701908,6.0,17,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.2970076479469346,0.1280378239701908,False,log-log scatter,False
BEL,0.002784446699502512,0.0015325739155736104,5.625,10,Belgium,Europe & Central Asia,High income,0.2784446699502512,0.15325739155736104,False,log-log scatter,False
FIN,0.002784446699502512,0.0005976559280460418,5.625,13,Finland,Europe & Central Asia,High income,0.2784446699502512,0.05976559280460418,False,log-log scatter,False
UGA,0.0027225701061802336,0.0035957261782736554,5.5,18,Uganda,Sub-Saharan Africa ,Low income,0.2722570106180234,0.35957261782736555,False,log-log scatter,False
MWI,0.0025328152199919148,0.0031499041186645116,5.116666666666667,19,Malawi,Sub-Saharan Africa ,Low income,0.25328152199919146,0.31499041186645116,False,log-log scatter,False
TUN,0.002475063732891122,0.0003243182577524922,5.0,13,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.24750637328911218,0.032431825775249216,False,log-log scatter,False
IRQ,0.002475063732891122,0.0008504083572745433,5.0,18,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.24750637328911218,0.08504083572745433,False,log-log scatter,False
URY,0.0021863062973871577,0.0008945924059635229,4.416666666666667,17,Uruguay,Latin America & Caribbean ,High income,0.21863062973871578,0.0894592405963523,False,log-log scatter,False
ZWE,0.0019800509863128974,0.0012201438991042391,4.0,19,Zimbabwe,Sub-Saharan Africa ,Lower middle income,0.19800509863128973,0.12201438991042392,False,log-log scatter,False
ECU,0.0019800509863128974,0.0030588544065999535,4.0,21,Ecuador,Latin America & Caribbean ,Upper middle income,0.19800509863128973,0.30588544065999534,False,log-log scatter,False
BLR,0.0019800509863128974,0.0022485527313472193,4.0,11,Belarus,Europe & Central Asia,Upper middle income,0.19800509863128973,0.22485527313472192,False,log-log scatter,False
